modelo,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_recall_mean,cv_f1_mean,test_accuracy,test_precision,test_recall,test_f1
KNN (k=5),0.9640893966282166,0.007159755967003594,0.9672955955453073,0.9654191295052603,0.9658094277138192,0.8802171700033933,0.8896991889132972,0.874630630627672,0.8766075990140537
"SVM (RBF, C=10)",0.9888459405501331,0.005402028081018671,0.9894899394682642,0.9897466162240587,0.9895689767336812,0.9548693586698337,0.9558833238594397,0.9530898383337371,0.9539526068493674
"MLP (400,200)",0.9808213176574977,0.005591125452384002,0.9822339329121291,0.9821042323349702,0.981986105880913,0.9419748897183576,0.9464515996709606,0.9398353530158973,0.9414300299697236
KNN (k=5) + LDA,0.9858540372670808,0.0038582069920727858,0.9870103686723197,0.9869584707889961,0.986934074829807,0.9643705463182898,0.9668225345077474,0.9642359518244192,0.9648722092138445
"SVM (RBF, C=10) + LDA",0.986534124519373,0.004611998042687897,0.9876460701128984,0.987630127117388,0.9875639032195801,0.9619952494061758,0.964235057170157,0.9616525129329839,0.9623795021081282
"MLP (10,5) + LDA",0.9812296657793553,0.005046499141229646,0.9828688320051022,0.9826490382886387,0.9826396507973814,0.9664065151001018,0.9675933752272332,0.9661974934407475,0.9666484745338256
